## [iView]
## Converted from:	D:\MatlabFiles\Eyetracking&Matlab\SampleScript\Data\Pilot_CvS_23.idf
## Date:	23.02.2011 12:33:28
## Version:	IDF Converter 3.0.9
## Sample Rate:	1250
## [Run]
## Subject:	test                                                                                                                                                                                                                                                            
## Description:	                                                                                                                                                                                                                                                                
## [Calibration]
## Calibration Type:	13-point
## Calibration Area:	1280	1024
## [Geometry]
## Stimulus Dimension [mm]:	300	200
## Head Distance [mm]:	500
## [Hardware Setup]
## [Presentation]
## Number of Samples:	23258                                                                                                                                                                                                                                                           
## Reversed:	none
## Format:	RIGHT, RAW, DIAMETER, CR, POR, QUALITY, MSG
## 
Time	Type	Trial	R Raw X [px]	R Raw Y [px]	R Dia X [px]	R Dia Y [px]	R CR1 X [px]	R CR1 Y [px]	R POR X [px]	R POR Y [px]	Timing	Latency
533617341116	SMP	2	141.32	61.05	31.00	30.00	145.47	62.43	852.46	613.33	0	993
533617341917	SMP	2	141.34	61.07	31.00	30.00	145.48	62.40	852.91	613.48	0	1008
533617342715	SMP	2	141.32	61.09	32.00	30.00	145.49	62.42	852.94	613.72	0	996
533617343516	SMP	2	141.35	61.02	31.00	30.00	145.47	62.42	853.69	612.88	0	1005
533617344315	SMP	2	141.35	61.08	31.00	30.00	145.47	62.41	854.16	613.51	0	997
533617345116	SMP	2	141.35	61.09	31.00	30.00	145.47	62.40	854.47	614.22	0	1013
533617345916	SMP	2	141.31	61.13	31.00	30.00	145.49	62.38	853.74	615.99	0	998
533617346717	SMP	2	141.34	61.04	30.00	30.00	145.48	62.44	853.55	614.48	0	1005
533617347515	SMP	2	141.33	61.00	31.00	30.00	145.49	62.39	853.11	613.12	0	998
533617348317	SMP	2	141.35	61.05	30.00	30.00	145.49	62.41	853.37	612.80	0	1009
533617349117	SMP	2	141.31	60.95	30.00	30.00	145.50	62.39	852.69	611.14	0	1015
533617349917	SMP	2	141.31	61.06	31.00	30.00	145.49	62.42	852.13	611.84	0	1010
533617350715	SMP	2	141.36	61.04	31.00	30.00	145.52	62.40	852.35	612.33	0	1004
533617351516	SMP	2	141.34	61.11	30.00	30.00	145.50	62.40	852.42	614.12	0	1009
533617352316	SMP	2	141.30	61.05	30.00	30.00	145.49	62.41	852.20	614.24	0	998
533617353117	SMP	2	141.36	60.99	30.00	30.00	145.50	62.39	852.66	613.15	0	1012
533617353916	SMP	2	141.35	61.06	31.00	29.00	145.52	62.40	852.53	613.33	0	1002
533617354717	SMP	2	141.44	61.04	30.00	30.00	145.50	62.40	854.80	613.05	0	1006
533617355515	SMP	2	141.34	61.12	31.00	30.00	145.52	62.41	853.90	614.49	0	994
533617356317	SMP	2	141.40	61.08	30.00	30.00	145.50	62.39	854.97	615.27	0	1025
533617357117	SMP	2	141.40	60.97	31.00	30.00	145.49	62.38	855.47	613.55	0	1023
533617357918	SMP	2	141.38	60.96	31.00	30.00	145.53	62.36	854.67	612.41	0	1019
533617358716	SMP	2	141.41	61.01	31.00	30.00	145.51	62.37	855.28	612.22	0	999
533617359517	SMP	2	141.38	61.05	31.00	30.00	145.52	62.37	854.67	613.04	0	1006
533617360316	SMP	2	141.38	61.05	29.00	30.00	145.51	62.33	854.49	615.06	0	989
533617361117	SMP	2	141.32	60.98	31.00	30.00	145.50	62.37	853.44	614.11	0	1008
533617361916	SMP	2	141.37	60.98	30.00	30.00	145.50	62.34	853.57	613.70	0	1003
533617362717	SMP	2	141.35	61.04	30.00	30.00	145.52	62.35	853.27	614.33	0	1015
533617363515	SMP	2	141.32	61.05	31.00	30.00	145.50	62.33	852.74	615.18	0	996
533617364316	SMP	2	141.38	61.02	31.00	30.00	145.53	62.31	853.08	616.03	0	1013
533617365115	SMP	2	141.37	60.96	30.00	30.00	145.52	62.33	853.17	614.90	0	1004
533617365916	SMP	2	141.44	60.92	31.00	29.00	145.53	62.34	854.53	612.65	0	1016
533617366716	SMP	2	141.45	61.01	31.00	31.00	145.54	62.31	855.49	613.71	0	1004
533617367517	SMP	2	141.37	60.94	29.00	30.00	145.53	62.32	854.77	612.83	0	1029
533617368318	SMP	2	141.47	60.98	29.00	30.00	145.51	62.28	856.58	614.39	0	992
533617369117	SMP	2	141.38	60.98	31.00	30.00	145.52	62.27	855.51	615.53	0	1009
533617369916	SMP	2	141.36	61.03	30.00	31.00	145.52	62.32	854.50	616.22	0	999
533617370717	SMP	2	141.35	60.99	30.00	30.00	145.52	62.26	853.56	616.97	0	1013
533617371517	SMP	2	141.32	61.03	31.00	31.00	145.52	62.27	852.35	617.89	0	1001
533617372316	SMP	2	141.37	60.91	31.00	30.00	145.53	62.28	852.28	615.79	0	1017
533617373116	SMP	2	141.44	60.89	31.00	30.00	145.55	62.26	853.56	614.19	0	1004
533617373916	SMP	2	141.41	60.95	31.00	30.00	145.52	62.25	854.63	614.46	0	1011
533617374715	SMP	2	141.39	60.91	31.00	30.00	145.54	62.25	854.46	614.22	0	1026
533617375517	SMP	2	141.50	60.94	31.00	30.00	145.53	62.24	856.51	614.95	0	1041
533617376318	SMP	2	141.38	60.89	31.00	30.00	145.53	62.23	855.19	614.92	0	999
533617377117	SMP	2	141.38	60.90	29.00	30.00	145.55	62.24	853.95	614.72	0	1015
533617377915	SMP	2	141.42	60.85	31.00	31.00	145.55	62.21	854.06	613.99	0	1001
533617378716	SMP	2	141.44	60.82	31.00	29.00	145.53	62.21	854.55	612.81	0	1027
533617379517	SMP	2	141.38	60.89	31.00	30.00	145.54	62.20	854.21	613.62	0	1024
533617380317	SMP	2	141.39	60.90	31.00	30.00	145.55	62.22	853.80	614.18	0	1043
533617381117	SMP	2	141.42	60.92	30.00	30.00	145.53	62.20	854.37	615.49	0	1003
533617381918	SMP	2	141.40	60.83	31.00	30.00	145.54	62.20	854.29	614.73	0	1004
533617382716	SMP	2	141.42	60.95	29.00	30.00	145.55	62.21	854.51	615.80	0	993
533617383516	SMP	2	141.49	60.85	30.00	30.00	145.54	62.21	856.23	614.84	0	1014
533617384315	SMP	2	141.44	60.91	31.00	30.00	145.55	62.20	856.24	615.39	0	1003
533617385116	SMP	2	141.42	60.83	31.00	30.00	145.55	62.20	855.78	614.62	0	1019
533617385916	SMP	2	141.49	60.83	30.00	30.00	145.54	62.19	856.71	613.75	0	1001
533617386717	SMP	2	141.44	60.85	31.00	30.00	145.57	62.21	855.69	613.45	0	1006
533617387516	SMP	2	141.44	60.85	31.00	30.00	145.53	62.19	855.97	613.41	0	992
533617388316	SMP	2	141.47	60.88	31.00	30.00	145.54	62.19	856.60	614.16	0	1005
533617389115	SMP	2	141.48	60.78	31.00	30.00	145.56	62.21	856.71	612.61	0	997
533617389916	SMP	2	141.41	60.84	31.00	30.00	145.55	62.18	855.87	613.21	0	1003
533617390715	SMP	2	141.48	60.82	30.00	30.00	145.57	62.17	856.05	613.13	0	993
533617391516	SMP	2	141.43	60.83	31.00	29.00	145.57	62.18	855.18	613.21	0	1005
533617392316	SMP	2	141.44	60.79	30.00	30.00	145.58	62.15	854.65	613.44	0	991
533617393115	SMP	2	141.51	60.79	31.00	29.00	145.58	62.18	855.46	612.75	0	1012
533617393915	SMP	2	141.43	60.80	31.00	30.00	145.58	62.17	854.60	612.52	0	997
533617394717	SMP	2	141.46	60.72	30.00	29.00	145.58	62.16	854.61	611.14	0	1008
533617395516	SMP	2	141.48	60.80	31.00	29.00	145.59	62.15	854.85	611.83	0	1009
